格调绮园 || 11.2平米 || 1830元/月
大通时尚花园 || 94.72平米 || 2600元/月
奥城公寓 || 53.43平米 || 2800元/月
溪水河畔花园 || 70平米 || 2600元/月
溪水河畔花园 || 112平米 || 17000元/月
松江置嘉公寓 || 46平米 || 3200元/月
宁发阳光花园 || 247平米 || 12000元/月
城市之星大厦 || 25.22平米 || 1500元/月
建设楼 || 60平米 || 2500元/月
日远里 || 70平米 || 3500元/月
瑞湾花园 || 117平米 || 4200元/月
春风里(红桥区) || 75.91平米 || 2200元/月
新义信里 || 60平米 || 2600元/月
奥城公寓 || 67平米 || 5000元/月
仁爱花园 || 105.74平米 || 2800元/月
怀远里 || 38.8平米 || 2000元/月
临营东里 || 27.68平米 || 1300元/月
榕景园 || 77.7平米 || 3000元/月
景兴里 || 58.91平米 || 3200元/月
景逸园 || 150.28平米 || 5000元/月
原冰里 || 38平米 || 1100元/月
盈江里 || 30.48平米 || 1600元/月
诚基经贸中心 || 51平米 || 2300元/月
级升里 || 40平米 || 2400元/月
广顺园 || 120平米 || 4200元/月
卫华里 || 59.37平米 || 3200元/月
卡梅尔天淳园 || 171平米 || 6500元/月
尚东雅园 || 121平米 || 3800元/月
天娇园 || 135.67平米 || 8000元/月
凤园里 || 34.63平米 || 1900元/月
滨河家园 || 97.74平米 || 2800元/月
耀华新里 || 57.77平米 || 1000元/月
联盛大厦 || 70平米 || 2300元/月
信昌大楼 || 35.7平米 || 1700元/月
伯苓大厦 || 133平米 || 5000元/月
阳光壹佰北园 || 101.6平米 || 3500元/月
城市之光别馆公寓 || 51平米 || 2400元/月
阳新里 || 54.31平米 || 1800元/月
环球金融中心津塔公寓 || 58.94平米 || 3700元/月
拥军里 || 75.5平米 || 2000元/月
巨福公寓 || 51.64平米 || 2400元/月
华章里 || 29平米 || 1600元/月
爱营里 || 78平米 || 2500元/月
津铁惠苑 || 92平米 || 2500元/月
天津大都会SMART || 79.67平米 || 4700元/月
新民里 || 96平米 || 2200元/月
向阳楼 || 60平米 || 1800元/月
京山道 || 60.63平米 || 1600元/月
保利大都会天汇尚苑 || 189.51平米 || 9500元/月
玉峰花园 || 75.5平米 || 2560元/月
仁爱濠景庄园河景园 || 135平米 || 6600元/月
程林里 || 15平米 || 800元/月
鹤望里 || 44.86平米 || 2400元/月
风华里 || 25平米 || 1000元/月
清枫园 || 91平米 || 2500元/月
明家庄园 || 71平米 || 2400元/月
迎水西里 || 58.06平米 || 3000元/月
万兴花园 || 31.82平米 || 1100元/月
禧顺花园 || 60.64平米 || 2800元/月
芳水河畔家园 || 82.97平米 || 2200元/月
紫桂苑 || 168平米 || 7500元/月
志和里 || 37.55平米 || 1200元/月
朝园里 || 67平米 || 3200元/月
育文里 || 35平米 || 1600元/月
裕德里 || 32.18平米 || 2000元/月
奥城公寓 || 63平米 || 3250元/月
奥城公寓 || 63平米 || 3250元/月
阳光星期八昕旺南苑 || 94平米 || 3600元/月
旭辉澜郡 || 82平米 || 1000元/月
泰达时代 || 118平米 || 4200元/月
天津雅颂居 || 181.61平米 || 14000元/月
三潭东里 || 62.79平米 || 2800元/月
滨海新城 || 148.28平米 || 3500元/月
凤园里 || 59平米 || 2400元/月
溪水河畔花园 || 164.11平米 || 7500元/月
巨福公寓 || 54平米 || 2300元/月
丁字沽十二段 || 71.27平米 || 1600元/月
水溪苑 || 90平米 || 2500元/月
谦益里 || 57平米 || 2200元/月
水岸公馆天浦园 || 94平米 || 3300元/月
湛江路新村 || 24平米 || 1500元/月
城际美景家园 || 77.43平米 || 1600元/月
中山八号中山8克拉 || 71平米 || 3600元/月
庆泰里 || 33.16平米 || 1900元/月
艳泉里 || 57.15平米 || 2100元/月
三和温泉花园天时园 || 102平米 || 3000元/月
广厦富城 || 60.98平米 || 1900元/月
临渭佳园 || 54平米 || 2300元/月
仁恒滨河湾 || 100平米 || 1550元/月
保山北里 || 45平米 || 2000元/月
阳光星期八昕旺北苑 || 99.58平米 || 2800元/月
团结东里 || 54.75平米 || 2300元/月
诚基经贸中心 || 67.94平米 || 2300元/月
西园南里 || 43平米 || 1700元/月
揽城苑 || 79.82平米 || 2200元/月
奥城公寓 || 69.13平米 || 3700元/月
金谷园 || 72.71平米 || 2400元/月
瀛洲里 || 86平米 || 1800元/月
翠庭园 || 144平米 || 5000元/月
宫前园 || 135.21平米 || 5000元/月
紫云国际 || 104平米 || 3200元/月
鑫茂科技园民营园 || 349.03平米 || 13000元/月
北仑里 || 57.7平米 || 1500元/月
佳园北里 || 60平米 || 4000元/月
泰达园 || 116.33平米 || 5500元/月
华康里 || 50平米 || 1800元/月
利德公寓 || 60平米 || 2700元/月
泗阳里 || 30.07平米 || 1400元/月
奥城公寓 || 39.67平米 || 2400元/月
诚基经贸中心 || 60平米 || 2400元/月
高新里 || 40平米 || 1300元/月
蓉芳里 || 47平米 || 1900元/月
毛条厂路 || 52.07平米 || 1600元/月
仁恒海河广场 || 51.65平米 || 4700元/月
盈江东里 || 62.1平米 || 2200元/月
凌研里 || 64.23平米 || 2400元/月
跃丽家园 || 80.55平米 || 2600元/月
远洋城 || 123.84平米 || 2000元/月
昆璞里 || 34平米 || 1500元/月
滨愉花园 || 90平米 || 1800元/月
大悦公寓 || 41.78平米 || 3500元/月
永平巷 || 40平米 || 1600元/月
南江东里 || 36.24平米 || 2100元/月
合众大厦 || 146.01平米 || 5000元/月
合众大厦 || 176.89平米 || 8000元/月
地华里 || 95.04平米 || 3500元/月
津门里 || 130平米 || 3500元/月
假日风景花园 || 127平米 || 3000元/月
东康家园 || 45.11平米 || 1600元/月
金厦里 || 53.07平米 || 2100元/月
喜年广场 || 68.27平米 || 2600元/月
富力津门湖景尚嘉郡 || 89平米 || 4300元/月
贺福里 || 49.06平米 || 1700元/月
长华里 || 155.11平米 || 4600元/月
懿德园 || 113平米 || 4200元/月
紫罗园 || 96平米 || 2100元/月
鹤园南里 || 44平米 || 1700元/月
佳庆里 || 32平米 || 1300元/月
万科新城紫藤苑 || 80平米 || 2450元/月
建设楼 || 60平米 || 2500元/月
日远里 || 70平米 || 3500元/月
奥城公寓 || 42.68平米 || 3100元/月
康桥里 || 44平米 || 1400元/月
航天北里 || 56平米 || 2000元/月
新天地家园 || 113平米 || 4000元/月
詹滨里 || 40.68平米 || 1500元/月
三潭东里 || 36.58平米 || 1500元/月
天津湾海景文苑 || 115.32平米 || 4800元/月
兴业家园 || 53.07平米 || 2000元/月
睿品大厦 || 34.99平米 || 2800元/月
金御瞰景 || 92平米 || 1700元/月
海逸长洲恋海园 || 154.21平米 || 5300元/月
富力津门湖江湾广场 || 65平米 || 2900元/月
欣居园 || 110平米 || 3100元/月
原冰里 || 43平米 || 1300元/月
博兰苑 || 103平米 || 3700元/月
金地格林世界橄榄苑C区 || 150平米 || 3000元/月
华亭国际 || 57平米 || 2000元/月
奥林匹克花园玉兰苑 || 75.3平米 || 2500元/月
泰达时尚旺角 || 127平米 || 5200元/月
仁恒河滨花园 || 100平米 || 6000元/月
同方花园 || 107.34平米 || 5500元/月
泉清家园 || 93平米 || 3000元/月
四平西道 || 25平米 || 2000元/月
麦迪逊 || 118平米 || 4800元/月
华泰里 || 38.6平米 || 1500元/月
华江里 || 41平米 || 2000元/月
福盛花园 || 108平米 || 4500元/月
阳光壹佰西园 || 197平米 || 6200元/月
凌奥盛世公寓 || 57平米 || 2500元/月
宝翠花都瞰景园 || 90平米 || 2000元/月
如意大厦 || 71.11平米 || 3600元/月
麦迪逊 || 102.78平米 || 4200元/月
尚东雅园 || 64平米 || 3000元/月
中海寰宇天下 || 110平米 || 4200元/月
开江南里 || 59平米 || 2100元/月
风湖里 || 84.49平米 || 3100元/月
红山里 || 70平米 || 2500元/月
仁恒滨河湾 || 94平米 || 2400元/月
欣苑公寓 || 105平米 || 3500元/月
昆俞家园 || 91.71平米 || 2000元/月
万顺空港融和广场雅仕阁公寓 || 116.33平米 || 2100元/月
诚基经贸中心 || 68平米 || 2600元/月
碧海长住 || 103.29平米 || 2300元/月
六纬路 || 58.61平米 || 2000元/月
雪莲东里 || 99.74平米 || 2400元/月
堤中里 || 47.49平米 || 2000元/月
长庚老年公寓 || 42平米 || 2000元/月
丰乐里 || 42平米 || 1700元/月
凤翔里 || 27.64平米 || 1900元/月
紫云园 || 138.91平米 || 3600元/月
远洋城 || 80平米 || 1700元/月
天房崇德园 || 105平米 || 5000元/月
海上国际城 || 97平米 || 1700元/月
莹华里 || 55平米 || 2100元/月
西楼北里 || 33.62平米 || 1750元/月
丹东里 || 84平米 || 2500元/月
微山东里 || 39.6平米 || 1600元/月
众诚里 || 35平米 || 2000元/月
紫光苑 || 39.94平米 || 1800元/月
凯立天香家园 || 111.96平米 || 3800元/月
永德街 || 55.27平米 || 2600元/月
富力桃园天富园 || 147平米 || 3500元/月
宜川北里 || 40.85平米 || 2200元/月
海景雅苑 || 61.41平米 || 3500元/月
恩德东里 || 42平米 || 2100元/月
新城小区 || 30平米 || 1850元/月
千间小区 || 60平米 || 1400元/月
育学里 || 50.67平米 || 2600元/月
金兰园 || 108平米 || 3400元/月
和平时光 || 63.26平米 || 3300元/月
万隆桃香园 || 88.83平米 || 2100元/月
裕德里 || 47平米 || 2700元/月
清枫园 || 90平米 || 2500元/月
诚基经贸中心 || 60平米 || 2100元/月
谊城公寓 || 104平米 || 2800元/月
仁恒滨河湾 || 89平米 || 1650元/月
贻成泰和新都 || 72.18平米 || 1700元/月
北辰大厦 || 150平米 || 4000元/月
银蕊园 || 102平米 || 2700元/月
迎水西里 || 40.26平米 || 2300元/月
盈江里 || 31.76平米 || 1500元/月
鼎泰大厦 || 98.3平米 || 5800元/月
琴海公寓 || 61.82平米 || 2800元/月
金霞里 || 50平米 || 2100元/月
荣翠园 || 59.44平米 || 800元/月
虎林里 || 36.46平米 || 1100元/月
新颖里 || 29.74平米 || 1800元/月
阳光壹佰西园 || 65平米 || 3500元/月
月华里 || 40平米 || 1300元/月
城市之光别馆公寓 || 52.16平米 || 1700元/月
海晶园 || 96.02平米 || 1500元/月
荣华里(大港区) || 71.36平米 || 1000元/月
津塘路2号 || 68.95平米 || 2400元/月
修业里 || 34平米 || 1900元/月
合众大厦 || 168.99平米 || 10000元/月
信德里 || 43平米 || 1900元/月
新颖里 || 30平米 || 2500元/月
昆仑中心 || 82平米 || 3800元/月
修业里 || 34.52平米 || 1700元/月
修业里 || 34.56平米 || 1500元/月
天房崇德园 || 104平米 || 15000元/月
名仕达花园 || 164平米 || 8500元/月
晓星园 || 110平米 || 4000元/月
罗兰花园 || 234.31平米 || 11000元/月
富源里 || 55平米 || 1700元/月
恂园南里 || 112.9平米 || 2600元/月
新义信里 || 50平米 || 1800元/月
新兴里 || 30平米 || 2000元/月
雪莲北里 || 97平米 || 2200元/月
昆俞家园 || 94平米 || 2200元/月
中建滨海壹号 || 88平米 || 2500元/月
第六大道第博雅园 || 132.61平米 || 3800元/月
雅安西里 || 34.82平米 || 1600元/月
富力津门湖江湾广场 || 89平米 || 5000元/月
亨通花园东区北里 || 110.54平米 || 1300元/月
渤海天易园 || 79.45平米 || 1650元/月
秋星里 || 34.34平米 || 1900元/月
万科魅力之城兰雅苑 || 105平米 || 3200元/月
平湖东里 || 21.33平米 || 1600元/月
城市之光别馆公寓 || 92.32平米 || 7500元/月
阳光壹佰西园 || 114.26平米 || 3300元/月
荟臻里 || 33平米 || 1400元/月
地华里 || 110平米 || 4500元/月
昆石里 || 68.36平米 || 2500元/月
鹤望里 || 44.3平米 || 1600元/月
卫华里 || 53.2平米 || 2800元/月
怒江里 || 55.19平米 || 1400元/月
晴景家园 || 111平米 || 2300元/月
淦江东里 || 52.8平米 || 2000元/月
姚台大街 || 38平米 || 2100元/月
虹畔馨苑 || 107平米 || 4200元/月
金丽花园 || 104平米 || 3500元/月
卓越浅水湾 || 27.93平米 || 2800元/月
宁月花园 || 60.49平米 || 2500元/月
艺术家园 || 100平米 || 2600元/月
星品大厦 || 55.61平米 || 3200元/月
海汇名邸 || 65.41平米 || 3200元/月
元兴新里 || 37.01平米 || 2300元/月
兴泰西里 || 44.68平米 || 2300元/月
宾水北里 || 57平米 || 2400元/月
水琳园 || 100平米 || 3800元/月
艺都花园 || 109.72平米 || 4300元/月
芳园里(河北区) || 60平米 || 2500元/月
松风西里 || 14平米 || 800元/月
平利里 || 45.41平米 || 1500元/月
居华里 || 86平米 || 3000元/月
鼎泰大厦 || 98.64平米 || 4800元/月
翠山楼 || 31.15平米 || 1400元/月
保利金融街诺丁山 || 92.26平米 || 1000元/月
常州里 || 62.32平米 || 2000元/月
美丽心殿 || 430.26平米 || 8000元/月
紫金南里 || 59平米 || 2500元/月
义兴南里 || 16.16平米 || 1200元/月
荣鑫园 || 107.55平米 || 3000元/月
万科民和巷 || 92平米 || 2500元/月
玉容花园 || 41平米 || 1700元/月
紫光苑 || 57.05平米 || 2300元/月
阳新里 || 42.57平米 || 1500元/月
惠众家园 || 91平米 || 2300元/月
大连道(和平区) || 82.1平米 || 4600元/月
东惠家园 || 48.52平米 || 1600元/月
悦雅花园 || 59平米 || 1600元/月
程林里 || 59.79平米 || 2500元/月
律笛里 || 70平米 || 2600元/月
水木天成碧杉园 || 95.93平米 || 2800元/月
泰安里 || 47平米 || 1400元/月
新汇华庭 || 90平米 || 5500元/月
沁园 || 122平米 || 3600元/月
侨馨园 || 89.53平米 || 4100元/月
金庄公寓 || 133.27平米 || 4200元/月
津铁惠苑 || 91.6平米 || 2500元/月
紫云园 || 129.67平米 || 3300元/月
金海花园(塘沽区) || 116平米 || 2600元/月
泰来南里 || 38.4平米 || 1400元/月
育水佳苑D区 || 110平米 || 2500元/月
中发里 || 92.76平米 || 2600元/月
恋日花园 || 124平米 || 3400元/月
怀远里 || 33.7平米 || 2000元/月
恩德东里 || 30平米 || 1600元/月
贻丰家园 || 169平米 || 4200元/月
安吉花园 || 95平米 || 2200元/月
文玥里 || 63.08平米 || 2600元/月
康翠园 || 89.39平米 || 2500元/月
金狮家园 || 46.6平米 || 1900元/月
银行里 || 45平米 || 2200元/月
商苑公寓 || 108平米 || 3200元/月
京燕大厦 || 68.56平米 || 3500元/月
新博园 || 88平米 || 3300元/月
普达里 || 48.57平米 || 1500元/月
远洋城 || 87.57平米 || 1900元/月
怀仁里 || 40平米 || 2000元/月
东亚风尚国际 || 52平米 || 2900元/月
万科新城凌云苑 || 169.92平米 || 6000元/月
来安里 || 54平米 || 1900元/月
贻成泰和新都 || 103.44平米 || 2000元/月
华宁北里 || 49.35平米 || 1900元/月
云栖里 || 35平米 || 1900元/月
滨愉花园 || 99平米 || 1800元/月
卧龙南里 || 39.27平米 || 1700元/月
金厦新都庄园涵溪园 || 90平米 || 2700元/月
凤园北里 || 82.2平米 || 2700元/月
金福南里 || 54.5平米 || 2000元/月
烟台道(塘沽区) || 62平米 || 1900元/月
恒大绿洲馨园 || 129平米 || 1800元/月
博兰苑 || 142.6平米 || 4800元/月
海华里 || 39.96平米 || 1500元/月
祥和里 || 38.62平米 || 1900元/月
林苑北里 || 40平米 || 1500元/月
三戒里 || 31.48平米 || 1500元/月
园荫北里 || 47.5平米 || 2400元/月
龙兴里 || 90平米 || 3000元/月
贵桥里 || 43.02平米 || 1500元/月
城际美景家园 || 108平米 || 1800元/月
松江东湖小镇 || 132.45平米 || 1900元/月
万科民和巷 || 92平米 || 3000元/月
团结东里 || 65平米 || 2300元/月
同安里(南开区) || 31.41平米 || 1800元/月
万科金奥广场 || 55平米 || 3100元/月
天房美域华庭 || 109.86平米 || 3800元/月
紫玉园 || 93.7平米 || 2800元/月
春梅楼 || 59平米 || 2800元/月
华光里 || 44.86平米 || 1500元/月
融创半湾半岛 || 166平米 || 2000元/月
北洋新里 || 53平米 || 2500元/月
世昌里 || 36平米 || 2200元/月
三潭东里 || 36平米 || 1500元/月
顺达西里 || 44平米 || 1300元/月
凯立天香家园 || 136.79平米 || 4500元/月
四段大楼 || 15.07平米 || 800元/月
海逸长洲恋海园 || 213平米 || 15000元/月
汇泉园 || 150平米 || 4500元/月
迎水南里 || 42平米 || 1600元/月
云轩公寓 || 50.24平米 || 2000元/月
瑞海大厦 || 22.15平米 || 1600元/月
金研里 || 47平米 || 1700元/月
金钟公寓 || 88平米 || 3200元/月
千吉花园 || 95平米 || 3800元/月
仁恒河滨花园 || 103平米 || 5700元/月
莹华里 || 99.67平米 || 3800元/月
大直沽后街 || 31.94平米 || 2000元/月
庆华里 || 95平米 || 3600元/月
纯正里 || 40平米 || 1800元/月
云江新苑 || 57.5平米 || 2100元/月
海航YOHO || 43.94平米 || 1900元/月
安达里(塘沽区) || 72平米 || 1300元/月
园荫里 || 53.58平米 || 2000元/月
纯雅公寓 || 83平米 || 3100元/月
学湖里 || 67.55平米 || 2700元/月
华江里 || 50.39平米 || 1500元/月
富力津门湖江湾广场 || 105.94平米 || 3800元/月
宸宜花园 || 77.85平米 || 2000元/月
金兰园 || 108平米 || 3400元/月
裕德里 || 47平米 || 2700元/月
清枫园 || 90平米 || 2500元/月
恩德东里 || 42平米 || 2100元/月
谊城公寓 || 104平米 || 2800元/月
仁恒滨河湾 || 89平米 || 1650元/月
贻成泰和新都 || 72.18平米 || 1700元/月
北辰大厦 || 150平米 || 4000元/月
丹东里 || 84平米 || 2500元/月
新城小区 || 30平米 || 1850元/月
千间小区 || 60平米 || 1400元/月
美坪园 || 106平米 || 5500元/月
通鑫园 || 104.52平米 || 3000元/月
融汇北苑 || 90.4平米 || 4800元/月
天桂里 || 45.23平米 || 1600元/月
跃进楼 || 10.67平米 || 800元/月
年德里 || 21.9平米 || 1550元/月
双峰道 || 36.2平米 || 4000元/月
红光家园 || 123.7平米 || 2200元/月
云广新里 || 44平米 || 1800元/月
博兰苑 || 141.94平米 || 4200元/月
世昌里 || 59.27平米 || 3600元/月
福园里 || 60平米 || 1700元/月
西楼北里 || 22.86平米 || 1400元/月
龙都花园 || 49.61平米 || 2200元/月
博兰苑 || 124平米 || 4000元/月
爱国北里 || 27平米 || 1550元/月
荣馨园 || 145平米 || 3300元/月
滨翔花园 || 87平米 || 2200元/月
惠森花园 || 99平米 || 2000元/月
瑞海大厦 || 22.15平米 || 1650元/月
卫华里 || 57.15平米 || 3000元/月
景园里 || 48.86平米 || 1800元/月
奥城公寓 || 37.91平米 || 2200元/月
和睦西里 || 31.52平米 || 1500元/月
康宁大厦 || 132平米 || 5500元/月
顶佳金领地 || 127平米 || 5000元/月
融创洞庭路壹号 || 104平米 || 4000元/月
天鸿大厦 || 58.98平米 || 1500元/月
先锋里 || 60平米 || 1900元/月
诚基经贸中心 || 54.82平米 || 2150元/月
湘江里 || 52.18平米 || 1500元/月
诚基经贸中心 || 68平米 || 4500元/月
海逸长洲恋海园 || 130.28平米 || 5500元/月
龙都花园 || 70平米 || 4500元/月
旭水蓝轩 || 81.19平米 || 2100元/月
水畔花园 || 59.82平米 || 3000元/月
颂贤里 || 60.89平米 || 2100元/月
雪莲东里 || 70.3平米 || 2200元/月
晴景家园 || 96平米 || 2800元/月
联发第五街 || 98平米 || 5000元/月
堤南里 || 44.48平米 || 2300元/月
四季馨园 || 124平米 || 5000元/月
万科紫台 || 90.44平米 || 3500元/月
大地十二城枫桦园 || 86平米 || 2400元/月
爱丽家园东区 || 73平米 || 4500元/月
鸿运里 || 112.94平米 || 3300元/月
人委北里 || 39.04平米 || 1600元/月
华亭丽园 || 92.17平米 || 2500元/月
万科民和巷 || 93平米 || 2800元/月
城际美景家园 || 87平米 || 1650元/月
春风里(塘沽区) || 110平米 || 2400元/月
耀远里 || 41平米 || 1800元/月
长城里 || 58.37平米 || 2800元/月
通鑫园 || 100平米 || 2300元/月
东升里 || 38.85平米 || 1400元/月
金地艺城悦府 || 80平米 || 1700元/月
滨海智谛山 || 76.24平米 || 2600元/月
汐岸国际天汐园 || 247.25平米 || 13000元/月
滨海智谛山 || 67平米 || 2000元/月
富裕大厦 || 98.36平米 || 4500元/月
滨海新城 || 105.66平米 || 4300元/月
程林里 || 38.1平米 || 1500元/月
义江里 || 40平米 || 1300元/月
富力津门湖江湾广场 || 57.45平米 || 2600元/月
彩虹花园 || 600平米 || 26000元/月
彩虹花园 || 200.25平米 || 26000元/月
彩虹花园 || 350平米 || 26000元/月
富裕大厦 || 72平米 || 7700元/月
富裕大厦 || 72平米 || 7700元/月
彩虹花园 || 206.11平米 || 11000元/月
华夏津典畅水园 || 70.62平米 || 3200元/月
龙都花园 || 49.11平米 || 1950元/月
滨河庭苑 || 97.53平米 || 3200元/月
新闻西里 || 37平米 || 1700元/月
富裕大厦 || 72平米 || 7700元/月
富裕大厦 || 72平米 || 7700元/月
富裕大厦 || 72平米 || 7700元/月
富裕大厦 || 72平米 || 7700元/月
富裕大厦 || 72平米 || 7700元/月
熙汇广场 || 54.38平米 || 2400元/月
林城佳苑 || 90平米 || 2000元/月
金地格林世界橄榄苑C区 || 159.75平米 || 5000元/月
太阳城金旭园 || 96平米 || 1700元/月
爱国北里 || 68平米 || 4500元/月
惠灵顿海上花苑 || 173平米 || 12000元/月
华康里 || 60平米 || 1800元/月
第六大道第博雅园 || 57.87平米 || 2500元/月
西关北里 || 29.72平米 || 1600元/月
中海金湖湾 || 95平米 || 2500元/月
再兴里 || 80平米 || 2800元/月
静德花园 || 124平米 || 5000元/月
和进里 || 53平米 || 2100元/月
胡北小镇 || 95.63平米 || 1500元/月
心贻湾 || 96平米 || 1500元/月
河东融科瀚棠 || 85平米 || 2000元/月
景致里 || 58.05平米 || 2000元/月
迎安里 || 77.6平米 || 2200元/月
旺海公府 || 182平米 || 9000元/月
艺术公寓 || 72平米 || 3500元/月
赏湖苑 || 88.82平米 || 2100元/月
子牙里 || 58.12平米 || 1800元/月
桃源观邸 || 91平米 || 2200元/月
贻成峰景 || 50平米 || 1900元/月
保利大都会天汇雅苑 || 82平米 || 5000元/月
朗庭园 || 91.41平米 || 3300元/月
恂园里 || 50平米 || 2000元/月
南通里 || 56.77平米 || 2900元/月
天津大都会SMART || 53.2平米 || 3700元/月
碧水里 || 80平米 || 2700元/月
花园伍座轩 || 145平米 || 7500元/月
府上和平 || 86.32平米 || 6500元/月
和平时光 || 46.06平米 || 3600元/月
富力津门湖江湾广场 || 102平米 || 3600元/月
城市之星大厦 || 41.81平米 || 1800元/月
康达尚郡 || 40平米 || 2300元/月
盛海公寓 || 51.76平米 || 2200元/月
惠安花园 || 58.79平米 || 1200元/月
正荣润璟湾 || 82平米 || 1300元/月
太阳城橙翠园 || 113平米 || 3400元/月
来安里 || 53平米 || 1700元/月
万丽国际公寓 || 66.39平米 || 3500元/月
金合园 || 89平米 || 2800元/月
金地艺境 || 77.6平米 || 1800元/月
秀茵明居 || 87平米 || 3100元/月
燕宇花园 || 58.26平米 || 1500元/月
林苑北里 || 14.18平米 || 1000元/月
贵桥里 || 70平米 || 1600元/月
田庄大街28号 || 52.02平米 || 2200元/月
中海城市广场 || 143.55平米 || 10000元/月
津淄东里 || 38.69平米 || 3500元/月
南华里 || 38.55平米 || 2300元/月
贵山里 || 51.88平米 || 1650元/月
金益园 || 75平米 || 1200元/月
郑业里 || 47平米 || 2600元/月
通鑫园 || 100平米 || 2300元/月
万通华府A区 || 285.75平米 || 20000元/月
天房美域华庭 || 70平米 || 2500元/月
富力津门湖观鹭花园 || 163.47平米 || 7000元/月
珠海里 || 61平米 || 2200元/月
三和温泉花园天时园 || 83平米 || 2000元/月
佳音里 || 85平米 || 4200元/月
东海岸家园 || 94.3平米 || 2000元/月
南荣里 || 38平米 || 2500元/月
桐景园 || 146.82平米 || 5200元/月
水岸江南天湾园 || 88平米 || 3800元/月
富力津门湖云舒花园 || 152平米 || 5200元/月
中国铁建国际城 || 87平米 || 3000元/月
保利金香槟 || 166平米 || 8800元/月
联发第五街 || 96.65平米 || 4200元/月
华夏津典畅水园 || 132平米 || 6000元/月
云轩公寓 || 51.55平米 || 2800元/月
万科魅力之城兰雅苑 || 85平米 || 2800元/月
东瑞家园 || 72.92平米 || 1200元/月
瑞金里 || 58平米 || 2000元/月
万新公寓 || 97平米 || 2500元/月
金茂广场 || 58.89平米 || 3000元/月
育红楼 || 60.96平米 || 2550元/月
环湖东里 || 40.94平米 || 1300元/月
纯正里 || 42平米 || 1650元/月
气象里 || 58.8平米 || 2600元/月
贻丰家园 || 108平米 || 2800元/月
留园里 || 42.36平米 || 2000元/月
东升里 || 38.85平米 || 1400元/月
金地艺城悦府 || 80平米 || 1700元/月
滨海智谛山 || 76.24平米 || 2600元/月
汐岸国际天汐园 || 247.25平米 || 13000元/月
北宁湾-宁宇家园 || 47.62平米 || 2100元/月
凯德国贸 || 90平米 || 13000元/月
风采里 || 62.81平米 || 1800元/月
尚东雅园 || 121平米 || 3800元/月
华育里 || 58平米 || 2600元/月
奥城公寓 || 75.74平米 || 3500元/月
远洋国际中心B区 || 68平米 || 4600元/月
日华里 || 96.74平米 || 3500元/月
都会轩 || 71.34平米 || 4000元/月
意境兰庭 || 130平米 || 3800元/月
卫华里 || 50.84平米 || 3000元/月
棉三宿舍 || 51.86平米 || 1600元/月
宜君西里 || 48.38平米 || 1800元/月
国风星苑 || 74平米 || 2600元/月
万科金奥广场 || 44平米 || 2900元/月
起发里 || 55.08平米 || 3000元/月
怀仁里 || 40.44平米 || 1980元/月
紫罗园 || 85平米 || 2500元/月
水乡花园 || 80平米 || 3500元/月
宝龙湾家园 || 106.32平米 || 4100元/月
芳馨园 || 82平米 || 2400元/月
园丁公寓 || 47平米 || 1600元/月
金德园 || 63.4平米 || 4200元/月
安德公寓 || 50平米 || 2500元/月
汇和家园 || 100平米 || 3500元/月
清化里 || 58平米 || 2400元/月
普同里 || 38.08平米 || 1200元/月
新华里(北辰区) || 98平米 || 1800元/月
前进新里 || 55平米 || 2000元/月
近园里 || 44.58平米 || 2800元/月
民建北里 || 37.72平米 || 1300元/月
UPUP公寓 || 66.53平米 || 2000元/月
UPUP公寓 || 66.53平米 || 2000元/月
東壹区 || 153平米 || 5000元/月
大直沽三号路 || 54.38平米 || 2600元/月
滨海国泰大厦 || 45.13平米 || 1400元/月
正康里 || 95平米 || 2100元/月
奥城公寓 || 194.61平米 || 14000元/月
耀远里 || 37平米 || 1800元/月
远翠西里 || 68平米 || 1800元/月
锋泛国际 || 79.36平米 || 1600元/月
三省里 || 40平米 || 1700元/月
侯台花园 || 63.45平米 || 2300元/月
中海城市广场 || 73平米 || 5000元/月
先进里 || 83.86平米 || 3200元/月
敬重里 || 58平米 || 2400元/月
城市之星大厦 || 134.17平米 || 3000元/月
玉鼎大厦 || 98平米 || 4500元/月
万科水晶城静湾园 || 85.5平米 || 4000元/月
居祥里 || 22.64平米 || 2100元/月
凤凰城 || 120.4平米 || 6000元/月
先进里 || 41平米 || 1900元/月
嘉泰花园 || 75平米 || 2400元/月
四化里 || 66平米 || 3000元/月
卧龙北里 || 37.36平米 || 1850元/月
滨慧花园 || 116.07平米 || 2000元/月
镇江里 || 30平米 || 1200元/月
武昌路 || 23.71平米 || 2300元/月
新城小区 || 41平米 || 1300元/月
祥泰公寓 || 139.04平米 || 2300元/月
伴山人家 || 83.88平米 || 1700元/月
第六田园优仕家园 || 162平米 || 10000元/月
金蕾花园 || 125平米 || 3500元/月
益寿里 || 38.85平米 || 2600元/月
中央公馆 || 51.47平米 || 2800元/月
三戒里 || 30.91平米 || 1500元/月
凯德国贸 || 71平米 || 7000元/月
翰雅园 || 112.66平米 || 4200元/月
大通时尚花园 || 139平米 || 5000元/月
金地格林世界棕榈苑D区 || 86平米 || 2200元/月
海图公寓 || 129.63平米 || 3750元/月
开云里 || 65平米 || 1800元/月
合生君景湾 || 154.3平米 || 4500元/月
爱国里 || 40平米 || 1750元/月
崇安里 || 43平米 || 1500元/月
碧水家园A区 || 60平米 || 1800元/月
